City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Faya,SA,18.3851,42.4509,57.72,69,1,2.48,clear sky
80,Moron,AR,-34.6534,-58.6198,70.02,95,100,6.73,light rain
81,Guerrero Negro,MX,27.9769,-114.0611,66.02,71,100,20.76,overcast clouds
82,Ust-Tsilma,RU,65.441,52.1498,10.71,93,100,12.12,light snow
83,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,78,0,18.41,clear sky
84,Takahagi,JP,36.7167,140.7167,35.1,56,19,16.49,few clouds
85,Port Alfred,ZA,-33.5906,26.891,69.19,88,4,4.0,clear sky
86,Khatanga,RU,71.9667,102.5,-18.31,96,42,10.89,scattered clouds
87,Juegang,CN,32.3174,121.1855,45.99,80,95,9.06,overcast clouds
88,Ruidoso,US,33.3317,-105.673,52.95,51,100,18.41,overcast clouds
89,Staryy Nadym,RU,65.6118,72.6842,-33.84,100,46,4.14,scattered clouds
90,Hilo,US,19.7297,-155.09,79.25,70,0,8.01,clear sky
91,Bac Giang,VN,21.2667,106.2,60.87,68,12,3.53,few clouds
92,Butaritari,KI,3.0707,172.7902,82.27,73,85,16.37,overcast clouds
93,Carnarvon,AU,-24.8667,113.6333,72.95,76,0,25.03,clear sky
94,Bluff,NZ,-46.6,168.3333,58.98,74,35,2.82,scattered clouds
95,Cascina,IT,43.6791,10.4994,58.06,86,75,4.61,broken clouds
96,Ribeira Grande,PT,38.5167,-28.7,58.77,62,40,18.41,scattered clouds
97,Gbadolite,CD,4.2833,21.0167,78.48,39,78,1.59,broken clouds
98,Ugoofaaru,MV,5.6667,73.0,79.36,72,68,7.49,broken clouds
99,Saint-Francois,FR,46.4154,3.9054,58.44,55,0,19.57,clear sky
100,Norman Wells,CA,65.282,-126.8329,-3.96,77,20,5.75,few clouds
101,Kaeo,NZ,-35.1,173.7833,66.24,76,100,17.11,overcast clouds
102,San Juan Bautista,PE,-14.0108,-75.7358,85.01,40,89,14.56,overcast clouds
103,Penzance,GB,50.1186,-5.5371,50.68,81,100,14.05,overcast clouds
104,Hermanus,ZA,-34.4187,19.2345,69.8,83,10,16.35,clear sky
105,Bethel,US,41.3712,-73.414,52.11,59,0,8.05,clear sky
106,Namibe,AO,-15.1961,12.1522,74.01,77,100,8.81,overcast clouds
107,Airai,TL,-8.9266,125.4092,60.84,96,100,5.12,overcast clouds
108,Cabo San Lucas,MX,22.8909,-109.9124,83.61,65,42,16.28,scattered clouds
109,Kawalu,ID,-7.3817,108.2082,71.15,93,100,2.53,overcast clouds
110,Westport,US,41.1415,-73.3579,53.64,55,0,9.22,clear sky
111,Zyryanka,RU,65.75,150.85,-33.92,93,95,7.65,overcast clouds
112,Beringovskiy,RU,63.05,179.3167,-13.2,90,93,12.26,overcast clouds
113,Gat,IL,31.61,34.7642,63.28,100,96,31.05,overcast clouds
114,Kodiak,US,57.79,-152.4072,38.71,100,100,12.66,light rain
115,Pochutla,MX,15.7432,-96.4661,85.82,51,63,6.98,broken clouds
116,Siloam Springs,US,36.1881,-94.5405,70.65,53,0,21.85,clear sky
117,Cherskiy,RU,68.75,161.3,-46.46,99,86,4.88,overcast clouds
118,Oktyabrskiy,RU,54.4815,53.471,29.07,93,100,14.09,overcast clouds
119,Bengkulu,ID,-3.8004,102.2655,73.69,90,100,3.62,moderate rain
120,Outlook,CA,51.5001,-107.0513,16.23,89,16,6.96,few clouds
121,Kavieng,PG,-2.5744,150.7967,82.42,73,100,3.91,overcast clouds
122,Katsuura,JP,35.1333,140.3,43.9,69,17,11.72,few clouds
123,Leningradskiy,RU,69.3833,178.4167,-30.91,95,23,2.28,few clouds
124,Shimanovsk,RU,52.0,127.7,-1.44,80,43,11.56,scattered clouds
125,Chokurdakh,RU,70.6333,147.9167,-25.01,99,100,4.54,overcast clouds
126,Coquimbo,CL,-29.9533,-71.3436,71.33,68,0,14.97,clear sky
127,Maniitsoq,GL,65.4167,-52.9,4.28,70,29,13.65,scattered clouds
128,Dingle,PH,10.9995,122.6711,73.62,94,100,3.4,light rain
129,Kavaratti,IN,10.5669,72.642,81.07,71,40,11.34,scattered clouds
130,Chala,TZ,-7.5833,31.2667,57.0,82,43,1.95,scattered clouds
131,Maceio,BR,-9.6658,-35.7353,76.44,94,75,8.05,broken clouds
132,Adrar,MR,20.5022,-10.0711,67.23,20,1,11.65,clear sky
133,Katherine,AU,-14.4667,132.2667,75.52,94,100,9.22,light rain
134,Colares,PT,38.7992,-9.4469,57.76,93,89,21.0,overcast clouds
135,Svetlyy,RU,54.675,20.1347,48.25,84,96,12.68,overcast clouds
136,Turayf,SA,31.6725,38.6637,44.85,81,0,18.41,clear sky
137,Isangel,VU,-19.55,169.2667,82.51,78,72,11.5,broken clouds
138,Luganville,VU,-15.5333,167.1667,79.68,85,100,6.26,overcast clouds
139,Leh,IN,34.1667,77.5833,2.39,60,0,2.66,clear sky
140,Kahului,US,20.8947,-156.47,79.84,71,0,7.0,clear sky
141,Arawa,PG,-6.2132,155.5367,80.58,82,99,3.42,overcast clouds
142,Souillac,MU,-20.5167,57.5167,73.78,88,20,6.91,few clouds
143,Portland,US,45.5234,-122.6762,47.62,92,75,4.0,mist
144,Urussu,RU,54.5981,53.4631,29.39,93,100,14.88,overcast clouds
145,Carballo,ES,43.213,-8.691,51.49,93,100,5.84,overcast clouds
146,Krutinka,RU,56.0055,71.5113,-16.71,99,97,4.5,overcast clouds
147,Luderitz,NA,-26.6481,15.1594,67.15,83,41,7.74,scattered clouds
148,Vestmanna,FO,62.1564,-7.1664,34.72,60,55,5.75,broken clouds
149,Chuy,UY,-33.6971,-53.4616,79.99,57,81,17.96,broken clouds
150,Les Cayes,HT,18.2,-73.75,81.41,64,55,5.99,broken clouds
151,Sao Felix Do Xingu,BR,-6.6447,-51.995,81.57,76,55,2.89,broken clouds
152,Katobu,ID,-4.9408,122.5276,76.03,86,100,3.67,overcast clouds
153,Atuona,PF,-9.8,-139.0333,78.12,78,9,17.49,light rain
154,Thompson,CA,55.7435,-97.8558,3.36,85,75,6.91,broken clouds
155,Kupang,ID,-10.1667,123.5833,80.31,85,100,19.64,overcast clouds
156,Sao Filipe,CV,14.8961,-24.4956,74.59,77,93,6.6,overcast clouds
157,Yaan,NG,7.3833,8.5667,79.32,20,3,6.2,clear sky
158,Coihaique,CL,-45.5752,-72.0662,53.55,62,100,5.75,light rain
159,Orda,RU,57.1951,56.9091,19.83,91,99,14.97,overcast clouds
160,Puttur,IN,12.7667,75.2167,75.31,96,79,2.06,broken clouds
161,San Cristobal,VE,7.7669,-72.225,75.38,83,79,3.6,broken clouds
162,Meulaboh,ID,4.1363,96.1285,74.14,91,66,4.0,broken clouds
163,Barrow,US,71.2906,-156.7887,-0.15,98,99,8.93,overcast clouds
164,Caruaru,BR,-8.2833,-35.9761,75.2,71,97,10.33,overcast clouds
165,Batagay-Alyta,RU,67.8006,130.4114,-12.44,99,100,4.94,overcast clouds
166,Sumenep,ID,-7.0167,113.8667,78.44,86,100,17.49,light rain
167,College,US,64.8569,-147.8028,18.59,86,75,0.0,broken clouds
168,Winnemucca,US,40.973,-117.7357,37.45,60,20,17.27,few clouds
169,Port Moresby,PG,-9.4431,147.1797,74.62,88,20,5.75,few clouds
170,Torbay,CA,47.6666,-52.7314,39.27,96,100,9.22,moderate rain
171,Kurilsk,RU,45.2333,147.8833,22.68,68,100,23.53,light snow
172,Waihi,NZ,-37.3833,175.8333,67.6,77,100,10.89,overcast clouds
173,Mujiayingzi,CN,42.1167,118.7833,6.75,44,0,6.24,clear sky
174,Belyy Yar,RU,53.6039,91.3903,-5.91,92,100,0.0,fog
175,Ancud,CL,-41.8697,-73.8203,58.06,65,38,12.08,scattered clouds
176,Tornio,FI,65.8481,24.1466,28.42,87,45,8.05,scattered clouds
177,Eyl,SO,7.9803,49.8164,76.87,77,53,19.75,broken clouds
178,Mahebourg,MU,-20.4081,57.7,75.25,88,20,6.91,few clouds
179,Boundiali,CI,9.5217,-6.4869,74.26,16,12,4.21,few clouds
180,Teguise,ES,29.0605,-13.564,61.02,42,0,2.3,clear sky
181,Daru,PG,-9.0763,143.2092,78.6,75,100,5.37,overcast clouds
182,Salalah,OM,17.0151,54.0924,77.09,38,0,10.36,clear sky
183,Henties Bay,NA,-22.116,14.2845,68.54,81,19,8.21,few clouds
184,Palmer,US,42.1584,-72.3287,45.86,63,100,16.11,overcast clouds
185,Tabas,IR,33.5959,56.9244,44.06,36,0,5.82,clear sky
186,Petropavl,KZ,54.8753,69.1628,-8.37,99,99,6.69,overcast clouds
187,Teya,RU,60.3778,92.6267,6.51,97,100,2.42,overcast clouds
188,Tuatapere,NZ,-46.1333,167.6833,64.67,62,3,1.3,clear sky
189,Bonthe,SL,7.5264,-12.505,79.14,74,7,8.03,clear sky
190,Bata,GQ,1.8639,9.7658,80.74,76,51,8.37,broken clouds
191,Esperance,AU,-33.8667,121.9,58.55,71,0,9.08,clear sky
192,Namatanai,PG,-3.6667,152.4333,80.92,77,100,3.71,overcast clouds
193,Kruisfontein,ZA,-34.0033,24.7314,67.89,95,0,8.28,clear sky
194,Cidreira,BR,-30.1811,-50.2056,75.43,85,2,18.21,clear sky
195,Sawtell,AU,-30.3833,153.1,68.02,88,40,9.22,scattered clouds
196,Troitskoye,RU,52.9821,84.6757,15.73,97,100,5.93,overcast clouds
197,Severo-Kurilsk,RU,50.6789,156.125,31.44,95,100,14.9,snow
198,Beisfjord,NO,68.3751,17.5988,32.05,97,100,6.44,snow
199,Ifanadiana,MG,-21.3,47.6333,69.66,97,100,0.36,overcast clouds
200,Olden,NO,61.8364,6.8064,25.54,61,90,9.31,overcast clouds
201,Pevek,RU,69.7008,170.3133,-35.84,98,100,2.28,overcast clouds
202,Payo,ID,-3.7508,103.6372,70.84,99,95,1.88,overcast clouds
203,Primorsko,BG,42.2667,27.7667,43.27,68,0,3.78,clear sky
204,Aden,YE,12.7794,45.0367,78.13,78,1,21.92,clear sky
205,Union City,US,37.5958,-122.0192,61.36,60,0,8.05,clear sky
206,Dillon,US,34.4166,-79.3712,70.88,64,40,5.99,scattered clouds
207,Biak,ID,-0.9131,122.8766,76.66,75,100,2.68,overcast clouds
208,Riviere-Au-Renard,CA,48.9957,-64.3971,30.49,82,100,14.18,overcast clouds
209,Simao,CN,22.7886,100.9748,47.03,98,2,2.08,clear sky
210,Tulun,RU,54.5611,100.5792,-17.77,99,56,3.44,broken clouds
211,Nome,US,64.5011,-165.4064,3.56,86,11,10.25,few clouds
212,Havelock,US,34.8791,-76.9013,69.98,60,0,5.75,clear sky
213,Caravelas,BR,-17.7125,-39.2481,77.2,81,5,7.65,clear sky
214,Tasiilaq,GL,65.6145,-37.6368,-12.77,48,0,6.62,clear sky
215,Lebu,CL,-37.6167,-73.65,61.52,74,4,12.62,clear sky
216,Evensk,RU,61.95,159.2333,-16.56,78,1,6.91,clear sky
217,Junin,AR,-34.5838,-60.9433,75.6,57,84,11.03,broken clouds
218,Monte Patria,CL,-30.6919,-70.9467,81.28,33,0,8.81,clear sky
219,Klaksvik,FO,62.2266,-6.589,36.52,56,47,19.37,scattered clouds
220,Margate,GB,51.3813,1.3862,49.3,90,100,1.01,overcast clouds
221,Faanui,PF,-16.4833,-151.75,80.91,75,99,13.18,overcast clouds
222,Road Town,VG,18.4167,-64.6167,80.64,74,40,6.91,scattered clouds
223,La Ronge,CA,55.1001,-105.2842,14.25,79,100,4.61,overcast clouds
224,Padang,ID,-0.9492,100.3543,75.22,87,96,2.68,overcast clouds
225,Santa Rosalia,MX,27.3167,-112.2833,68.94,55,100,10.56,overcast clouds
226,Deputatskiy,RU,69.3,139.9,-17.18,98,100,3.85,overcast clouds
227,Lompoc,US,34.6391,-120.4579,59.02,83,100,19.57,overcast clouds
228,Sayyan,YE,15.1718,44.3244,52.27,68,89,5.35,overcast clouds
229,Teguldet,RU,57.3064,88.1667,18.73,90,100,9.89,overcast clouds
230,Bay Roberts,CA,47.5999,-53.2648,40.05,98,100,5.01,moderate rain
231,Mayo,US,38.8876,-76.5119,64.56,63,0,5.75,clear sky
232,Zykovo,RU,55.9519,93.1461,5.74,88,100,3.15,overcast clouds
233,Sioux Lookout,CA,50.1001,-91.917,19.47,93,100,4.61,mist
234,Agirish,RU,61.9247,63.0231,-7.06,96,100,9.28,overcast clouds
235,Havre,FR,49.5833,0.3333,55.17,82,100,8.05,overcast clouds
236,Port Shepstone,ZA,-30.7414,30.455,67.48,81,45,11.25,scattered clouds
237,Bajil,YE,15.0584,43.2851,78.4,75,98,4.25,overcast clouds
238,Berbera,SO,10.4396,45.0143,77.97,80,52,15.28,broken clouds
239,Kirkcudbright,GB,54.8383,-4.0491,41.34,77,53,5.5,broken clouds
240,Tura,IN,25.5198,90.2201,54.86,65,0,4.27,clear sky
241,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,82,20,5.99,few clouds
242,Pingliang,CN,35.5392,106.6861,26.62,30,100,0.65,overcast clouds
243,Bonavista,CA,48.6499,-53.1147,35.56,98,100,14.2,moderate rain
244,Eureka,US,40.8021,-124.1637,53.2,75,57,5.01,broken clouds
245,Blythe,US,33.6103,-114.5964,65.03,40,31,22.86,scattered clouds
246,Mar Del Plata,AR,-38.0023,-57.5575,68.09,92,100,17.0,moderate rain
247,Ambilobe,MG,-13.2,49.05,74.75,89,93,3.04,overcast clouds
248,Northam,GB,51.0333,-4.2167,46.62,87,100,9.35,overcast clouds
249,Dasoguz,TM,41.8363,59.9666,35.55,75,0,9.22,clear sky
250,Chapais,CA,49.7834,-74.8492,19.18,96,63,2.82,broken clouds
251,Sungairaya,ID,0.7,108.9,78.03,84,100,7.4,overcast clouds
252,Avera,US,33.194,-82.5271,65.71,61,46,6.31,scattered clouds
253,Nan,TH,18.8333,100.6667,57.42,86,4,1.52,clear sky
254,Esso,RU,55.9333,158.7,-1.93,100,100,4.45,overcast clouds
255,Bilma,NE,18.6853,12.9164,58.73,29,0,2.19,clear sky
256,Baoshan,CN,46.5586,131.4244,-2.11,77,10,15.59,clear sky
257,Kiunga,PG,-6.1219,141.2906,72.48,87,100,0.76,overcast clouds
258,Shelburne,CA,44.0787,-80.2041,36.05,97,100,7.43,overcast clouds
259,Kabanjahe,ID,3.1001,98.4908,61.47,96,76,1.07,broken clouds
260,Awjilah,LY,29.1081,21.2869,57.0,61,93,5.55,overcast clouds
261,Kotar,IN,24.7167,80.9833,51.67,69,27,2.01,scattered clouds
262,Corinto,GR,37.9407,22.9573,49.89,72,0,0.49,clear sky
263,Lokachi,UA,50.737,24.6494,48.74,85,91,12.59,overcast clouds
264,Ulaangom,MN,49.9811,92.0667,-13.09,98,100,1.7,overcast clouds
265,Koutsouras,GR,35.0339,25.9469,59.11,70,64,8.01,broken clouds
266,Seydi,TM,39.4816,62.9137,35.87,57,2,5.79,clear sky
267,Abalak,RU,58.1286,68.5944,-7.8,96,99,7.09,overcast clouds
268,Matveyevka,RU,52.15,56.1833,18.64,95,100,5.86,overcast clouds
269,Isilkul,RU,54.9109,71.2728,-8.97,100,100,4.9,overcast clouds
270,Khash,IR,28.2211,61.2158,41.47,46,1,3.85,clear sky
271,Tonantins,BR,-2.8731,-67.8022,73.92,92,100,1.12,overcast clouds
272,Rawson,AR,-43.3002,-65.1023,75.43,24,0,9.55,clear sky
273,Vostok,RU,46.4856,135.8833,-17.7,98,100,5.35,overcast clouds
274,Cayenne,GF,4.9333,-52.3333,77.04,88,75,2.3,broken clouds
275,Kipushi,CD,-11.7667,27.2333,62.73,97,100,2.3,light rain
276,Qui Nhon,VN,13.7667,109.2333,71.2,79,100,17.87,overcast clouds
277,Nouadhibou,MR,20.931,-17.0347,78.78,34,0,13.8,clear sky
278,Richards Bay,ZA,-28.783,32.0377,65.82,81,0,3.38,clear sky
279,Morant Bay,JM,17.8815,-76.4093,86.7,75,19,5.68,few clouds
280,Santa Maria,BR,-29.6842,-53.8069,94.3,41,75,14.97,broken clouds
281,Coahuayana,MX,18.7333,-103.6833,86.76,44,2,7.36,clear sky
282,Kang,BW,-23.6752,22.7876,75.58,48,50,9.15,scattered clouds
283,Sorland,NO,67.667,12.6934,42.66,72,92,32.03,light rain
284,Touros,BR,-5.1989,-35.4608,79.95,78,100,11.83,overcast clouds
285,Wukari,NG,7.85,9.7833,74.7,24,1,5.88,clear sky
286,Hofn,IS,64.2539,-15.2082,21.87,55,41,7.54,scattered clouds
287,Vila Franca Do Campo,PT,37.7167,-25.4333,55.81,67,15,6.78,few clouds
288,Port Hardy,CA,50.6996,-127.4199,42.98,87,75,11.5,broken clouds
289,Sofia,BG,42.6975,23.3242,33.49,100,20,2.3,mist
290,Rockland,US,41.1668,-74.0496,53.46,63,39,6.78,scattered clouds
291,Boshan,CN,36.4833,117.8333,27.68,56,98,2.71,overcast clouds
292,Ho Chi Minh City,VN,10.75,106.6667,73.42,88,40,3.44,scattered clouds
293,Asfi,MA,32.2994,-9.2372,62.91,74,10,2.95,clear sky
294,Tete,MZ,-16.1564,33.5867,73.31,84,3,3.83,clear sky
295,Atar,MR,20.5169,-13.0499,75.42,17,0,8.46,clear sky
296,Cranbrook,CA,49.4999,-115.7688,24.64,93,20,0.0,few clouds
297,Bandarbeyla,SO,9.4942,50.8122,76.93,79,51,18.97,broken clouds
298,Berlevag,NO,70.8578,29.0864,32.0,93,100,0.0,light snow
299,Ardmore,US,34.1743,-97.1436,78.58,31,0,13.0,clear sky
300,Tezu,IN,27.9167,96.1667,55.81,60,61,3.58,broken clouds
301,Hornslet,DK,56.3155,10.3204,46.6,89,75,7.0,broken clouds
302,Mandal,IN,25.45,74.5667,50.94,51,3,1.39,clear sky
303,Karratha,AU,-20.7377,116.8463,81.37,47,99,19.57,overcast clouds
304,Hamilton,US,39.1834,-84.5333,54.59,90,99,1.99,overcast clouds
305,Constitucion,CL,-35.3333,-72.4167,66.47,59,1,17.25,clear sky
306,Yerbogachen,RU,61.2767,108.0108,-13.74,93,28,5.97,scattered clouds
307,Kamenka,RU,51.3223,42.7678,40.69,97,100,16.64,overcast clouds
308,Lasa,IT,46.6166,10.7002,42.03,94,99,3.87,overcast clouds
309,Pangnirtung,CA,66.1451,-65.7125,-23.8,76,20,4.61,few clouds
310,Ponta Do Sol,PT,32.6667,-17.1,65.01,75,98,8.81,overcast clouds
311,Ranfurly,NZ,-45.1333,170.1,61.11,82,0,2.59,clear sky
312,Williamsport,US,41.2412,-77.0011,51.03,73,79,1.01,broken clouds
313,Tazovskiy,RU,67.4667,78.7,-6.05,99,100,2.15,overcast clouds
314,Manokwari,ID,-0.8667,134.0833,77.4,79,100,4.63,overcast clouds
315,Kudahuvadhoo,MV,2.6708,72.8944,80.92,69,70,16.42,broken clouds
316,Bad Frankenhausen,DE,51.35,11.1,58.19,69,100,1.99,overcast clouds
317,Trairi,BR,-3.2778,-39.2689,80.19,78,99,12.68,overcast clouds
318,Hirara,JP,24.8,125.2833,67.24,79,100,20.54,overcast clouds
319,Voh,NC,-20.9667,164.7,77.74,75,84,5.06,broken clouds
320,Vanimo,PG,-2.6741,141.3028,76.89,87,46,2.42,scattered clouds
321,Salta,AR,-24.7859,-65.4117,93.79,27,20,10.36,few clouds
322,Palana,RU,59.1167,159.9667,-4.31,86,22,10.47,few clouds
323,Emerald,AU,-23.5333,148.1667,71.35,75,0,12.95,clear sky
324,Atambua,ID,-9.1061,124.8925,73.51,91,100,5.79,light rain
325,Athabasca,CA,54.7169,-113.2854,16.21,90,99,4.94,overcast clouds
326,Hami,CN,42.8,93.45,19.62,53,77,1.81,broken clouds
327,Sharjah,AE,25.3573,55.4033,69.78,73,0,6.91,clear sky
328,Rodrigues Alves,BR,-7.738,-72.6509,82.6,79,99,4.79,overcast clouds
329,San Rafael Del Sur,NI,11.8485,-86.4384,85.17,51,7,14.32,clear sky
330,Warkworth,NZ,-36.4,174.6667,68.49,64,100,18.9,overcast clouds
331,Hobyo,SO,5.3505,48.5268,77.34,82,46,17.67,light rain
332,Leshukonskoye,RU,64.8989,45.7622,22.17,96,100,5.5,snow
