City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Longyearbyen,SJ,2022-12-15 22:35:03,78.2186,15.6401,3.04,72,40,12.66
68,Hithadhoo,MV,2022-12-15 22:35:18,-0.6,73.0833,80.96,72,58,11.03
69,Ostrovnoy,RU,2022-12-15 22:38:30,68.0531,39.5131,14.2,88,60,24.94
70,Saint-Philippe,RE,2022-12-15 22:38:30,-21.3585,55.7679,76.59,84,66,12.66
71,Dingle,PH,2022-12-15 22:38:31,10.9995,122.6711,77.22,92,99,7.72
72,Saint George,US,2022-12-15 22:32:02,37.1041,-113.5841,47.95,41,0,1.99
73,Katy,US,2022-12-15 22:33:42,29.7858,-95.8244,64.94,35,0,4.61
74,Cabo San Lucas,MX,2022-12-15 22:33:51,22.8909,-109.9124,77.61,56,0,6.91
75,Esperance,AU,2022-12-15 22:38:31,-33.8667,121.9,62.74,69,24,15.61
76,Comodoro Rivadavia,AR,2022-12-15 22:38:32,-45.8667,-67.5,69.66,24,0,16.11
77,Chapleau,CA,2022-12-15 22:38:32,47.8405,-83.4034,30.29,93,100,9.22
78,Bluff,NZ,2022-12-15 22:38:32,-46.6,168.3333,63.81,81,98,6.44
79,Cidreira,BR,2022-12-15 22:38:33,-30.1811,-50.2056,72.14,83,100,9.48
80,Pevek,RU,2022-12-15 22:35:21,69.7008,170.3133,-28.05,91,40,1.23
81,Russell,US,2022-12-15 22:35:48,32.3502,-85.1999,61.88,47,0,3.44
82,Carnarvon,AU,2022-12-15 22:38:33,-24.8667,113.6333,73.62,72,0,16.93
83,Aleksandrov Gay,RU,2022-12-15 22:38:33,50.147,48.5704,26.65,89,95,7.54
84,Victoria,HK,2022-12-15 22:38:34,22.2855,114.1577,63.25,91,100,11.01
85,Busselton,AU,2022-12-15 22:38:34,-33.65,115.3333,61.48,69,0,15.35
86,Bengkulu,ID,2022-12-15 22:34:17,-3.8004,102.2655,74.57,88,69,5.61
87,Ribeira Grande,PT,2022-12-15 22:38:34,38.5167,-28.7,60.78,82,100,15.99
88,Tefe,BR,2022-12-15 22:38:35,-3.3542,-64.7114,84.31,79,20,2.3
89,Suleja,NG,2022-12-15 22:38:35,9.1758,7.1808,72.59,28,98,4.21
90,Arraial Do Cabo,BR,2022-12-15 22:38:35,-22.9661,-42.0278,75.06,73,40,13.8
91,Rikitea,PF,2022-12-15 22:38:35,-23.1203,-134.9692,74.26,76,91,9.08
92,Saint-Augustin,CA,2022-12-15 22:38:36,51.226,-58.6502,29.48,75,66,16.11
93,Wanning,CN,2022-12-15 22:39:36,18.8003,110.3967,66.43,92,99,10.49
94,Coelho Neto,BR,2022-12-15 22:39:36,-4.2567,-43.0128,74.79,85,97,3.27
95,Walvis Bay,NA,2022-12-15 22:39:37,-22.9575,14.5053,67.15,88,2,4.61
96,Atbasar,KZ,2022-12-15 22:39:37,51.8,68.3333,-3.6,86,3,6.06
97,Verkhoturye,RU,2022-12-15 22:39:37,58.8627,60.8054,8.04,93,31,6.51
98,Sinnamary,GF,2022-12-15 22:39:38,5.3833,-52.95,76.28,89,68,8.63
99,Vostok,RU,2022-12-15 22:39:38,46.4856,135.8833,-15.38,97,100,5.1
100,Thompson,CA,2022-12-15 22:39:38,55.7435,-97.8558,19.56,93,100,12.66
101,Opuwo,NA,2022-12-15 22:39:39,-18.0607,13.84,67.82,79,100,3.76
102,Hamilton,US,2022-12-15 22:38:18,39.1834,-84.5333,44.24,71,75,6.91
103,Jamestown,US,2022-12-15 22:37:20,42.097,-79.2353,38.79,72,100,12.66
104,Port-Gentil,GA,2022-12-15 22:39:39,-0.7193,8.7815,80.56,89,40,5.75
105,Gat,IL,2022-12-15 22:33:01,31.61,34.7642,62.4,100,4,2.91
106,Jinchang,CN,2022-12-15 22:39:40,38.4953,102.1739,11.12,69,86,8.86
107,Khatanga,RU,2022-12-15 22:39:40,71.9667,102.5,-22.04,100,100,3.78
108,Auki,SB,2022-12-15 22:39:40,-8.7676,160.7034,85.12,66,42,1.61
109,Cayenne,GF,2022-12-15 22:35:23,4.9333,-52.3333,78.84,83,20,4.61
110,Kahului,US,2022-12-15 22:35:06,20.8947,-156.47,80.83,62,20,9.22
111,Bredasdorp,ZA,2022-12-15 22:39:41,-34.5322,20.0403,69.64,92,92,6.15
112,Roebourne,AU,2022-12-15 22:39:41,-20.7833,117.1333,80.38,39,0,15.17
113,Asilah,MA,2022-12-15 22:39:41,35.465,-6.0348,58.96,76,32,18.88
114,Buala,SB,2022-12-15 22:39:42,-8.145,159.5921,83.98,73,68,4.32
115,Faanui,PF,2022-12-15 22:39:42,-16.4833,-151.75,80.31,77,94,18.25
116,Nioro,GM,2022-12-15 22:39:42,13.35,-15.75,76.62,12,6,5.73
117,Vyksa,RU,2022-12-15 22:39:43,55.3175,42.1744,22.37,86,100,11.61
118,La Massana,AD,2022-12-15 22:39:43,42.5667,1.4833,39.67,92,100,1.52
119,Vestmannaeyjar,IS,2022-12-15 22:39:43,63.4427,-20.2734,25.61,84,100,6.96
120,Pingliang,CN,2022-12-15 22:39:44,35.5392,106.6861,21.33,60,100,12.5
121,Kloulklubed,PW,2022-12-15 22:39:44,7.0419,134.2556,79.3,77,96,20.69
122,Kolo,PL,2022-12-15 22:39:44,52.2002,18.6387,18.95,95,32,4.97
123,Uvarovka,RU,2022-12-15 22:39:44,55.5278,35.6061,26.2,93,100,12.59
124,Praia,CV,2022-12-15 22:39:45,14.9215,-23.5087,75.74,78,0,16.11
125,Madang,PG,2022-12-15 22:39:45,-5.2246,145.7966,82.13,76,63,2.44
126,Belyy Yar,RU,2022-12-15 22:39:45,53.6039,91.3903,-2.31,98,20,0.0
127,Qaanaaq,GL,2022-12-15 22:39:46,77.484,-69.3632,15.71,72,100,7.11
128,Tasiilaq,GL,2022-12-15 22:39:46,65.6145,-37.6368,17.76,63,91,5.08
